SubjID	OriobjNo	PicName	PairNo	RotateAng	FaceNo	RunNo	genRanNo	AllTrialNo	colchoice	RT
15	11	obj04.jpg	12	360	face23.jpg	1	2	1	6	9.48019627481699
15	4	obj13.jpg	3	144	face06.jpg	1	3	2	136	13.362656744197
15	8	obj05.jpg	7	240	face25.jpg	1	4	3	262	4.98021109122783
15	10	obj07.jpg	10	312	face09.jpg	1	7	4	310	5.09782777540386
15	7	obj14.jpg	8	264	face04.jpg	1	8	5	271	14.5468151401728
15	6	obj10.jpg	6	216	face08.jpg	1	10	6	209	6.44007407687604
15	5	obj11.jpg	6	216	face05.jpg	1	11	7	213	8.95222476031631
15	10	obj07.jpg	9	288	face02.jpg	1	12	8	274	7.04069105163217
15	2	obj08.jpg	2	120	face15.jpg	1	14	9	139	5.53230896499008
15	5	obj11.jpg	5	192	face14.jpg	1	15	10	195	7.50418746843934
15	3	obj03.jpg	4	168	face12.jpg	1	18	11	154	24.3482451131567
15	9	obj06.jpg	10	312	face13.jpg	1	20	12	311	3.50030073616654
15	8	obj05.jpg	8	264	face22.jpg	1	22	13	248	10.2306081093848
15	4	obj13.jpg	4	168	face10.jpg	1	25	14	166	7.25731023494154
15	14	obj02.jpg	14	48	face19.jpg	1	28	15	58	10.8165093138814
15	11	obj04.jpg	11	336	face01.jpg	1	30	16	331	14.5719985393807
15	12	obj01.jpg	11	336	face07.jpg	1	32	17	338	29.8188566379249
15	14	obj02.jpg	13	24	face16.jpg	1	37	18	31	6.27436865214258
15	2	obj08.jpg	1	96	face18.jpg	1	40	19	84	19.7775524072349
15	13	obj12.jpg	13	24	face27.jpg	1	42	20	27	7.42337955348194
15	1	obj09.jpg	1	96	face17.jpg	1	44	21	90	5.62531775515527
15	6	obj10.jpg	5	192	face24.jpg	1	45	22	185	16.2086400734261
15	9	obj06.jpg	9	288	face03.jpg	1	47	23	285	14.5605087466538
15	7	obj14.jpg	7	240	face26.jpg	1	48	24	235	5.67624621558934
15	12	obj01.jpg	12	360	face21.jpg	1	49	25	359	5.00837830640376
15	3	obj03.jpg	3	144	face11.jpg	1	50	26	148	16.4969629263505
15	13	obj12.jpg	14	48	face28.jpg	1	52	27	45	6.99852468911558
15	1	obj09.jpg	2	120	face20.jpg	1	54	28	134	2.6226512696594
15	2	obj08.jpg	1	96	face18.jpg	2	1	29	93	6.73213980719447
15	7	obj14.jpg	8	264	face04.jpg	2	5	30	280	9.41789114754647
15	10	obj07.jpg	9	288	face02.jpg	2	6	31	293	21.3883809139952
15	9	obj06.jpg	10	312	face13.jpg	2	9	32	304	3.36831155512482
15	14	obj02.jpg	13	24	face16.jpg	2	13	33	335	5.08276345580816
15	11	obj04.jpg	12	360	face23.jpg	2	16	34	353	6.18966370541602
15	9	obj06.jpg	9	288	face03.jpg	2	17	35	299	4.6215862352401
15	4	obj13.jpg	3	144	face06.jpg	2	19	36	111	7.16295699216425
15	12	obj01.jpg	11	336	face07.jpg	2	21	37	331	14.4467367753386
15	1	obj09.jpg	1	96	face17.jpg	2	23	38	91	8.05032951850444
15	11	obj04.jpg	11	336	face01.jpg	2	24	39	328	13.9347165310755
15	14	obj02.jpg	14	48	face19.jpg	2	26	40	53	6.38424074742943
15	8	obj05.jpg	8	264	face22.jpg	2	27	41	276	8.23571942653507
15	1	obj09.jpg	2	120	face20.jpg	2	29	42	131	6.02540505398065
15	10	obj07.jpg	10	312	face09.jpg	2	31	43	305	8.71434069983661
15	13	obj12.jpg	13	24	face27.jpg	2	33	44	34	12.6197332199663
15	3	obj03.jpg	4	168	face12.jpg	2	34	45	157	8.76067879237235
15	7	obj14.jpg	7	240	face26.jpg	2	35	46	245	4.38672319520265
15	5	obj11.jpg	6	216	face05.jpg	2	36	47	258	2.70314132515341
15	13	obj12.jpg	14	48	face28.jpg	2	38	48	63	7.75758680142462
15	5	obj11.jpg	5	192	face14.jpg	2	39	49	173	8.10518589429557
15	8	obj05.jpg	7	240	face25.jpg	2	41	50	223	6.46172991022468
15	4	obj13.jpg	4	168	face10.jpg	2	43	51	165	15.3444757442921
15	6	obj10.jpg	6	216	face08.jpg	2	46	52	203	6.79537965822965
15	6	obj10.jpg	5	192	face24.jpg	2	51	53	179	10.2000549798831
15	12	obj01.jpg	12	360	face21.jpg	2	53	54	359	3.85362761747092
15	3	obj03.jpg	3	144	face11.jpg	2	55	55	133	9.70326055865735
15	2	obj08.jpg	2	120	face15.jpg	2	56	56	131	14.6144255502149
