SubjID	OriobjNo	PicName	PairNo	RotateAng	FaceNo	RunNo	genRanNo	AllTrialNo	colchoice	RT
16	9	obj08.jpg	9	192	face13.jpg	1	3	1	198	9.2683253986761
16	9	obj08.jpg	10	216	face16.jpg	1	4	2	207	12.4832705128938
16	2	obj14.jpg	1	360	face26.jpg	1	5	3	357	9.49486810807139
16	13	obj09.jpg	14	312	face09.jpg	1	7	4	301	2.64239495526999
16	10	obj03.jpg	10	216	face03.jpg	1	9	5	211	4.32560312282294
16	12	obj11.jpg	11	240	face01.jpg	1	12	6	223	3.24565646890551
16	12	obj11.jpg	12	264	face28.jpg	1	13	7	255	9.83182333689183
16	3	obj10.jpg	3	48	face12.jpg	1	14	8	47	5.51166664808989
16	3	obj10.jpg	4	72	face18.jpg	1	17	9	71	5.86849494930357
16	11	obj07.jpg	12	264	face14.jpg	1	18	10	280	4.45345731638372
16	6	obj13.jpg	6	120	face10.jpg	1	22	11	141	3.49151532445103
16	14	obj06.jpg	14	312	face08.jpg	1	23	12	45	2.31005740351975
16	4	obj05.jpg	4	72	face06.jpg	1	24	13	70	7.54026221949607
16	4	obj05.jpg	3	48	face24.jpg	1	27	14	50	9.80823080893606
16	1	obj01.jpg	1	360	face15.jpg	1	29	15	22	13.0663159433752
16	7	obj04.jpg	7	144	face27.jpg	1	32	16	146	17.2535256445408
16	8	obj12.jpg	7	144	face22.jpg	1	35	17	158	1.9685646276921
16	6	obj13.jpg	5	96	face20.jpg	1	37	18	100	13.0440996373072
16	13	obj09.jpg	13	288	face23.jpg	1	39	19	283	8.71528981719166
16	14	obj06.jpg	13	288	face11.jpg	1	40	20	300	6.85862822923809
16	1	obj01.jpg	2	24	face04.jpg	1	43	21	41	4.88909718953073
16	8	obj12.jpg	8	168	face07.jpg	1	47	22	179	13.5877571878955
16	10	obj03.jpg	9	192	face17.jpg	1	48	23	186	12.2953706411645
16	11	obj07.jpg	11	240	face21.jpg	1	49	24	229	6.58249232545495
16	5	obj02.jpg	6	120	face05.jpg	1	50	25	124	1.35949682444334
16	2	obj14.jpg	2	24	face19.jpg	1	52	26	34	7.2636189814657
16	5	obj02.jpg	5	96	face25.jpg	1	54	27	92	10.1885145129636
16	7	obj04.jpg	8	168	face02.jpg	1	55	28	178	6.32247435580939
16	1	obj01.jpg	2	24	face04.jpg	2	1	29	45	3.80536747723818
16	5	obj02.jpg	5	96	face25.jpg	2	2	30	99	3.56288740318269
16	13	obj09.jpg	13	288	face23.jpg	2	6	31	293	9.8808673704043
16	3	obj10.jpg	3	48	face12.jpg	2	8	32	28	1.5051932791248
16	2	obj14.jpg	1	360	face26.jpg	2	10	33	16	6.11905359756202
16	2	obj14.jpg	2	24	face19.jpg	2	11	34	31	3.4976604199037
16	6	obj13.jpg	6	120	face10.jpg	2	15	35	140	1.66660472657531
16	10	obj03.jpg	10	216	face03.jpg	2	16	36	220	3.69987159688026
16	3	obj10.jpg	4	72	face18.jpg	2	19	37	68	6.53022050391883
16	10	obj03.jpg	9	192	face17.jpg	2	20	38	194	4.15689882356673
16	12	obj11.jpg	12	264	face28.jpg	2	21	39	245	3.94841551780701
16	11	obj07.jpg	11	240	face21.jpg	2	25	40	242	6.82903251424432
16	13	obj09.jpg	14	312	face09.jpg	2	26	41	321	1.63319435529411
16	9	obj08.jpg	9	192	face13.jpg	2	28	42	206	9.1123232441023
16	4	obj05.jpg	4	72	face06.jpg	2	30	43	73	7.39020459726453
16	7	obj04.jpg	8	168	face02.jpg	2	31	44	182	2.8618934918195
16	1	obj01.jpg	1	360	face15.jpg	2	33	45	10	4.06021150760353
16	5	obj02.jpg	6	120	face05.jpg	2	34	46	109	2.94563093874604
16	8	obj12.jpg	7	144	face22.jpg	2	36	47	135	3.08333045430481
16	6	obj13.jpg	5	96	face20.jpg	2	38	48	105	5.00568231847137
16	12	obj11.jpg	11	240	face01.jpg	2	41	49	230	7.40789272729307
16	14	obj06.jpg	13	288	face11.jpg	2	42	50	280	6.56925084907562
16	9	obj08.jpg	10	216	face16.jpg	2	44	51	239	3.51624048501253
16	14	obj06.jpg	14	312	face08.jpg	2	45	52	305	6.46651686355472
16	4	obj05.jpg	3	48	face24.jpg	2	46	53	33	5.36475955601782
16	7	obj04.jpg	7	144	face27.jpg	2	51	54	118	2.86864652577788
16	11	obj07.jpg	12	264	face14.jpg	2	53	55	278	2.32897682022303
16	8	obj12.jpg	8	168	face07.jpg	2	56	56	169	4.10143853258342
