SubjID	OriobjNo	PicName	PairNo	RotateAng	FaceNo	RunNo	genRanNo	AllTrialNo	colchoice	RT
2	6	obj09.jpg	6	288	face05.jpg	1	1	1	285	6.70213588047773
2	11	obj12.jpg	11	48	face23.jpg	1	2	2	56	4.20749730523676
2	11	obj12.jpg	12	72	face01.jpg	1	3	3	67	2.12528198305517
2	7	obj02.jpg	7	312	face17.jpg	1	7	4	303	2.95451594144106
2	5	obj06.jpg	6	288	face18.jpg	1	8	5	307	4.21786765102297
2	1	obj10.jpg	1	168	face03.jpg	1	9	6	192	3.15277995262295
2	13	obj04.jpg	13	96	face15.jpg	1	11	7	90	0.7696592239663
2	7	obj02.jpg	8	336	face25.jpg	1	12	8	336	4.95607048738748
2	10	obj03.jpg	10	24	face26.jpg	1	14	9	30	4.98443341627717
2	10	obj03.jpg	9	360	face12.jpg	1	15	10	2	1.75624582264572
2	5	obj06.jpg	5	264	face13.jpg	1	16	11	242	0.760734408162534
2	4	obj13.jpg	4	240	face02.jpg	1	18	12	243	2.79168201331049
2	14	obj07.jpg	13	96	face04.jpg	1	19	13	84	2.50517324265093
2	8	obj08.jpg	8	336	face20.jpg	1	23	14	356	4.04224308952689
2	9	obj01.jpg	10	24	face14.jpg	1	25	15	31	0.719761162996292
2	3	obj11.jpg	3	216	face06.jpg	1	28	16	222	5.20634891558439
2	4	obj13.jpg	3	216	face07.jpg	1	31	17	219	8.71458216011524
2	14	obj07.jpg	14	120	face11.jpg	1	32	18	124	1.5375624448061
2	3	obj11.jpg	4	240	face22.jpg	1	34	19	244	3.71844556741416
2	2	obj14.jpg	2	192	face19.jpg	1	35	20	202	4.91441128682345
2	8	obj08.jpg	7	312	face21.jpg	1	36	21	317	5.96269651129842
2	1	obj10.jpg	2	192	face16.jpg	1	40	22	198	6.06907770317048
2	12	obj05.jpg	12	72	face24.jpg	1	41	23	61	5.06340411491692
2	6	obj09.jpg	5	264	face27.jpg	1	42	24	237	3.97441526502371
2	2	obj14.jpg	1	168	face08.jpg	1	43	25	177	4.12656354531646
2	13	obj04.jpg	14	120	face28.jpg	1	49	26	137	3.5335348257795
2	9	obj01.jpg	9	360	face09.jpg	1	51	27	1	6.88977759331465
2	12	obj05.jpg	11	48	face10.jpg	1	54	28	57	1.35177393909544
2	9	obj01.jpg	9	360	face09.jpg	2	4	29	2	6.56248479709029
2	5	obj06.jpg	5	264	face13.jpg	2	5	30	233	2.95433363318443
2	2	obj14.jpg	1	168	face08.jpg	2	6	31	274	1.65584135707468
2	11	obj12.jpg	11	48	face23.jpg	2	10	32	49	6.91844168957323
2	4	obj13.jpg	4	240	face02.jpg	2	13	33	254	1.7671535871923
2	7	obj02.jpg	8	336	face25.jpg	2	17	34	333	3.52653793990612
2	3	obj11.jpg	3	216	face06.jpg	2	20	35	223	1.83504152391106
2	3	obj11.jpg	4	240	face22.jpg	2	21	36	240	0.648472294211388
2	14	obj07.jpg	13	96	face04.jpg	2	22	37	78	4.11237080860883
2	13	obj04.jpg	14	120	face28.jpg	2	24	38	118	2.76930833701044
2	4	obj13.jpg	3	216	face07.jpg	2	26	39	210	2.28941279929131
2	8	obj08.jpg	7	312	face21.jpg	2	27	40	316	1.6047423267737
2	11	obj12.jpg	12	72	face01.jpg	2	29	41	72	4.51673421356827
2	1	obj10.jpg	2	192	face16.jpg	2	30	42	214	0.791632610373199
2	5	obj06.jpg	6	288	face18.jpg	2	33	43	301	0.775543682277203
2	12	obj05.jpg	12	72	face24.jpg	2	37	44	66	3.12420866917819
2	9	obj01.jpg	10	24	face14.jpg	2	38	45	40	5.05706949625164
2	8	obj08.jpg	8	336	face20.jpg	2	39	46	1	1.13025607913733
2	1	obj10.jpg	1	168	face03.jpg	2	44	47	171	3.99446623306721
2	6	obj09.jpg	5	264	face27.jpg	2	45	48	251	2.67486902046949
2	7	obj02.jpg	7	312	face17.jpg	2	46	49	295	2.58393206540495
2	13	obj04.jpg	13	96	face15.jpg	2	47	50	79	4.44265019800514
2	2	obj14.jpg	2	192	face19.jpg	2	48	51	209	7.52962292358279
2	10	obj03.jpg	10	24	face26.jpg	2	50	52	16	7.63400062825531
2	6	obj09.jpg	6	288	face05.jpg	2	52	53	284	1.47767329774797
2	10	obj03.jpg	9	360	face12.jpg	2	53	54	2	4.048239457421
2	14	obj07.jpg	14	120	face11.jpg	2	55	55	114	3.15865266602486
2	12	obj05.jpg	11	48	face10.jpg	2	56	56	54	2.94830938894302
