SubjID	OriobjNo	PicName	PairNo	RotateAng	FaceNo	RunNo	genRanNo	AllTrialNo	colchoice	RT
12	7	obj10.jpg	8	72	face16.jpg	1	2	1	89	17.3033806243911
12	6	obj07.jpg	5	360	face18.jpg	1	5	2	352	3.72713804338127
12	13	obj03.jpg	14	216	face06.jpg	1	6	3	242	9.33194610662758
12	11	obj05.jpg	11	144	face01.jpg	1	8	4	136	6.5193595951423
12	14	obj11.jpg	14	216	face25.jpg	1	10	5	232	1.88437148649246
12	12	obj06.jpg	11	144	face21.jpg	1	13	6	148	7.80066669173539
12	11	obj05.jpg	12	168	face28.jpg	1	14	7	182	1.524673323147
12	9	obj08.jpg	9	96	face15.jpg	1	17	8	144	12.1276135202497
12	8	obj02.jpg	8	72	face10.jpg	1	18	9	61	3.71281514782459
12	4	obj09.jpg	3	312	face04.jpg	1	20	10	294	4.50334398075938
12	2	obj01.jpg	2	288	face24.jpg	1	23	11	312	4.79202684573829
12	2	obj01.jpg	1	264	face07.jpg	1	24	12	278	3.21535171382129
12	3	obj14.jpg	4	336	face09.jpg	1	27	13	358	2.35240369383246
12	14	obj11.jpg	13	192	face22.jpg	1	28	14	202	2.44864552561194
12	1	obj04.jpg	1	264	face11.jpg	1	29	15	211	2.78298785630614
12	8	obj02.jpg	7	48	face27.jpg	1	30	16	49	12.348983543925
12	5	obj12.jpg	5	360	face12.jpg	1	32	17	30	3.29841293860227
12	7	obj10.jpg	7	48	face05.jpg	1	35	18	43	8.88690564036369
12	10	obj13.jpg	9	96	face14.jpg	1	36	19	89	8.59245511516929
12	1	obj04.jpg	2	288	face08.jpg	1	40	20	286	4.94945358578116
12	12	obj06.jpg	12	168	face23.jpg	1	45	21	171	4.00804942008108
12	13	obj03.jpg	13	192	face03.jpg	1	46	22	190	2.64792097173631
12	5	obj12.jpg	6	24	face02.jpg	1	47	23	10	4.72527872491628
12	4	obj09.jpg	4	336	face19.jpg	1	49	24	314	5.75029962696135
12	6	obj07.jpg	6	24	face26.jpg	1	50	25	18	3.62960621993989
12	9	obj08.jpg	10	120	face13.jpg	1	51	26	122	7.96126448828727
12	3	obj14.jpg	3	312	face17.jpg	1	53	27	293	4.29320454597473
12	10	obj13.jpg	10	120	face20.jpg	1	55	28	137	2.82963518518955
12	10	obj13.jpg	9	96	face14.jpg	2	1	29	162	6.45004922058433
12	13	obj03.jpg	13	192	face03.jpg	2	3	30	194	4.31862307526171
12	12	obj06.jpg	11	144	face21.jpg	2	4	31	132	5.71804472059011
12	7	obj10.jpg	8	72	face16.jpg	2	7	32	88	12.7028366057202
12	5	obj12.jpg	6	24	face02.jpg	2	9	33	32	3.8016421534121
12	7	obj10.jpg	7	48	face05.jpg	2	11	34	56	6.84139846172184
12	13	obj03.jpg	14	216	face06.jpg	2	12	35	215	2.26642006449401
12	10	obj13.jpg	10	120	face20.jpg	2	15	36	135	4.14896350074559
12	2	obj01.jpg	1	264	face07.jpg	2	16	37	322	3.35226136445999
12	8	obj02.jpg	7	48	face27.jpg	2	19	38	48	1.12356951739639
12	11	obj05.jpg	11	144	face01.jpg	2	21	39	127	2.22950020805001
12	5	obj12.jpg	5	360	face12.jpg	2	22	40	12	5.14229835290462
12	14	obj11.jpg	14	216	face25.jpg	2	25	41	221	4.64306712336838
12	9	obj08.jpg	10	120	face13.jpg	2	26	42	125	5.38511187862605
12	3	obj14.jpg	4	336	face09.jpg	2	31	43	344	2.41922313068062
12	1	obj04.jpg	2	288	face08.jpg	2	33	44	302	4.13399986550212
12	11	obj05.jpg	12	168	face28.jpg	2	34	45	167	5.13338399492204
12	2	obj01.jpg	2	288	face24.jpg	2	37	46	297	5.12744553852826
12	6	obj07.jpg	6	24	face26.jpg	2	38	47	32	5.43201999273151
12	4	obj09.jpg	3	312	face04.jpg	2	39	48	320	4.52552346047014
12	9	obj08.jpg	9	96	face15.jpg	2	41	49	203	2.24885291419923
12	14	obj11.jpg	13	192	face22.jpg	2	42	50	197	5.78943146299571
12	6	obj07.jpg	5	360	face18.jpg	2	43	51	354	2.53053665999323
12	4	obj09.jpg	4	336	face19.jpg	2	44	52	9	2.56067126523703
12	12	obj06.jpg	12	168	face23.jpg	2	48	53	172	4.32473710179329
12	3	obj14.jpg	3	312	face17.jpg	2	52	54	322	6.8108001453802
12	1	obj04.jpg	1	264	face11.jpg	2	54	55	187	2.51650405395776
12	8	obj02.jpg	8	72	face10.jpg	2	56	56	76	1.63637937605381
