SubjID	OriobjNo	PicName	PairNo	RotateAng	FaceNo	RunNo	genRanNo	AllTrialNo	colchoice	RT
17	1	obj09.jpg	1	96	face06.jpg	1	3	1	219	5.93429411482066
17	4	obj12.jpg	4	168	face20.jpg	1	6	2	185	1.01912757661194
17	7	obj08.jpg	7	240	face26.jpg	1	7	3	224	1.29322226718068
17	1	obj09.jpg	2	120	face08.jpg	1	8	4	115	0.801424629054964
17	10	obj07.jpg	9	288	face02.jpg	1	9	5	284	1.8260679943487
17	14	obj02.jpg	14	48	face17.jpg	1	10	6	52	5.91639769263566
17	3	obj04.jpg	4	168	face15.jpg	1	11	7	128	4.19479259289801
17	11	obj06.jpg	12	360	face07.jpg	1	14	8	301	2.41402548365295
17	5	obj03.jpg	5	192	face27.jpg	1	16	9	204	2.01784602086991
17	9	obj13.jpg	9	288	face19.jpg	1	17	10	297	2.49464232008904
17	3	obj04.jpg	3	144	face21.jpg	1	20	11	141	1.35276274010539
17	8	obj14.jpg	7	240	face28.jpg	1	23	12	200	3.28683022130281
17	9	obj13.jpg	10	312	face13.jpg	1	24	13	284	5.02837671339512
17	14	obj02.jpg	13	24	face04.jpg	1	26	14	40	6.23889419157058
17	5	obj03.jpg	6	216	face14.jpg	1	27	15	197	0.756026847288013
17	12	obj01.jpg	12	360	face03.jpg	1	28	16	286	1.92538174707443
17	13	obj05.jpg	13	24	face11.jpg	1	29	17	24	7.02294955961406
17	6	obj11.jpg	5	192	face22.jpg	1	33	18	206	1.14374420512468
17	13	obj05.jpg	14	48	face09.jpg	1	35	19	54	1.52039089147002
17	2	obj10.jpg	1	96	face05.jpg	1	37	20	112	0.573622142896056
17	4	obj12.jpg	3	144	face18.jpg	1	39	21	286	5.80767756141722
17	2	obj10.jpg	2	120	face24.jpg	1	43	22	99	4.98521273862571
17	12	obj01.jpg	11	336	face23.jpg	1	44	23	304	4.47798130661249
17	6	obj11.jpg	6	216	face16.jpg	1	47	24	208	1.67349396646023
17	10	obj07.jpg	10	312	face25.jpg	1	52	25	294	5.15344338584691
17	8	obj14.jpg	8	264	face01.jpg	1	53	26	202	2.7760613290593
17	11	obj06.jpg	11	336	face10.jpg	1	54	27	280	1.20449583046138
17	7	obj08.jpg	8	264	face12.jpg	1	55	28	197	1.74067926499993
17	2	obj10.jpg	2	120	face24.jpg	2	1	29	117	0.909721232950687
17	8	obj14.jpg	8	264	face01.jpg	2	2	30	214	3.61389177385718
17	14	obj02.jpg	14	48	face17.jpg	2	4	31	44	3.67302161920816
17	6	obj11.jpg	6	216	face16.jpg	2	5	32	228	1.77403021696955
17	7	obj08.jpg	8	264	face12.jpg	2	12	33	219	0.774516372010112
17	1	obj09.jpg	1	96	face06.jpg	2	13	34	126	2.21481023635715
17	12	obj01.jpg	11	336	face23.jpg	2	15	35	316	3.03613846190274
17	9	obj13.jpg	9	288	face19.jpg	2	18	36	305	3.52701688930392
17	8	obj14.jpg	7	240	face28.jpg	2	19	37	219	1.29637688305229
17	5	obj03.jpg	6	216	face14.jpg	2	21	38	198	5.79675353318453
17	11	obj06.jpg	11	336	face10.jpg	2	22	39	329	2.53416284173727
17	3	obj04.jpg	4	168	face15.jpg	2	25	40	127	3.69119189865887
17	13	obj05.jpg	13	24	face11.jpg	2	30	41	22	4.75216544419527
17	14	obj02.jpg	13	24	face04.jpg	2	31	42	47	1.30740628112108
17	12	obj01.jpg	12	360	face03.jpg	2	32	43	289	4.9522442817688
17	6	obj11.jpg	5	192	face22.jpg	2	34	44	197	2.24722200166434
17	11	obj06.jpg	12	360	face07.jpg	2	36	45	298	2.88315208163112
17	4	obj12.jpg	3	144	face18.jpg	2	38	46	290	3.42787391878664
17	13	obj05.jpg	14	48	face09.jpg	2	40	47	17	2.08622941467911
17	10	obj07.jpg	10	312	face25.jpg	2	41	48	310	8.72196811344475
17	7	obj08.jpg	7	240	face26.jpg	2	42	49	214	2.5111223962158
17	10	obj07.jpg	9	288	face02.jpg	2	45	50	299	4.63513383083045
17	2	obj10.jpg	1	96	face05.jpg	2	46	51	109	0.568097322247922
17	4	obj12.jpg	4	168	face20.jpg	2	48	52	282	3.56878702621907
17	3	obj04.jpg	3	144	face21.jpg	2	49	53	128	1.9342491067946
17	1	obj09.jpg	2	120	face08.jpg	2	50	54	116	2.03292936272919
17	9	obj13.jpg	10	312	face13.jpg	2	51	55	278	5.81098773516715
17	5	obj03.jpg	5	192	face27.jpg	2	56	56	198	1.55421263631433
