SubjID	OriobjNo	PicName	PairNo	RotateAng	FaceNo	RunNo	genRanNo	AllTrialNo	colchoice	RT
19	1	obj02.jpg	1	264	face22.jpg	1	3	1	301	7.0278649982065
19	11	obj04.jpg	11	144	face03.jpg	1	4	2	116	4.60530066303909
19	9	obj08.jpg	10	120	face11.jpg	1	7	3	97	8.35338314436376
19	10	obj01.jpg	9	96	face06.jpg	1	10	4	155	10.6094339750707
19	8	obj06.jpg	8	72	face21.jpg	1	11	5	53	3.17584487423301
19	6	obj03.jpg	6	24	face09.jpg	1	17	6	24	1.55639399401844
19	3	obj09.jpg	3	312	face26.jpg	1	18	7	331	1.79014202021062
19	12	obj05.jpg	11	144	face13.jpg	1	19	8	234	0.620663337409496
19	5	obj07.jpg	5	360	face27.jpg	1	20	9	344	1.91366954892874
19	4	obj11.jpg	4	336	face23.jpg	1	21	10	308	0.616162359714508
19	2	obj10.jpg	2	288	face02.jpg	1	23	11	141	7.90042792633176
19	12	obj05.jpg	12	168	face14.jpg	1	27	12	131	6.37548978626728
19	7	obj12.jpg	8	72	face01.jpg	1	30	13	53	5.64437563158572
19	2	obj10.jpg	1	264	face16.jpg	1	31	14	260	2.59185275435448
19	6	obj03.jpg	5	360	face28.jpg	1	36	15	5	2.60922622866929
19	11	obj04.jpg	12	168	face07.jpg	1	37	16	112	4.04892585799098
19	3	obj09.jpg	4	336	face17.jpg	1	39	17	308	1.93370239809155
19	5	obj07.jpg	6	24	face24.jpg	1	41	18	125	1.52152129262686
19	9	obj08.jpg	9	96	face15.jpg	1	43	19	17	3.11600434407592
19	14	obj14.jpg	14	216	face05.jpg	1	44	20	220	0.608964757993817
19	14	obj14.jpg	13	192	face19.jpg	1	46	21	233	2.92544070258737
19	8	obj06.jpg	7	48	face25.jpg	1	47	22	9	2.39535802230239
19	10	obj01.jpg	10	120	face10.jpg	1	48	23	206	2.40493465960026
19	13	obj13.jpg	14	216	face08.jpg	1	49	24	221	3.21333633176982
19	4	obj11.jpg	3	312	face20.jpg	1	51	25	297	2.82655402086675
19	7	obj12.jpg	7	48	face18.jpg	1	53	26	25	0.927363626658916
19	1	obj02.jpg	2	288	face04.jpg	1	54	27	289	5.11856166273355
19	13	obj13.jpg	13	192	face12.jpg	1	55	28	252	2.64986615814269
19	3	obj09.jpg	3	312	face26.jpg	2	1	29	306	4.56081910245121
19	2	obj10.jpg	1	264	face16.jpg	2	2	30	268	3.46953025646508
19	1	obj02.jpg	1	264	face22.jpg	2	5	31	257	1.29200496338308
19	7	obj12.jpg	7	48	face18.jpg	2	6	32	260	2.75023256987333
19	13	obj13.jpg	14	216	face08.jpg	2	8	33	232	3.32327363826334
19	5	obj07.jpg	5	360	face27.jpg	2	9	34	50	0.850330248475075
19	5	obj07.jpg	6	24	face24.jpg	2	12	35	259	2.0075962934643
19	6	obj03.jpg	6	24	face09.jpg	2	13	36	29	0.639763528481126
19	11	obj04.jpg	12	168	face07.jpg	2	14	37	122	4.24642950482666
19	6	obj03.jpg	5	360	face28.jpg	2	15	38	335	0.64433060772717
19	7	obj12.jpg	8	72	face01.jpg	2	16	39	284	2.96994247287512
19	14	obj14.jpg	14	216	face05.jpg	2	22	40	187	2.44660975411534
19	10	obj01.jpg	9	96	face06.jpg	2	24	41	84	5.97038114257157
19	11	obj04.jpg	11	144	face03.jpg	2	25	42	218	0.668393881991506
19	9	obj08.jpg	10	120	face11.jpg	2	26	43	328	3.06056814454496
19	4	obj11.jpg	4	336	face23.jpg	2	28	44	312	1.70004723407328
19	12	obj05.jpg	11	144	face13.jpg	2	29	45	136	3.75763583742082
19	8	obj06.jpg	8	72	face21.jpg	2	32	46	38	0.776348371058702
19	9	obj08.jpg	9	96	face15.jpg	2	33	47	23	4.20122689567506
19	1	obj02.jpg	2	288	face04.jpg	2	34	48	297	5.45071376115084
19	8	obj06.jpg	7	48	face25.jpg	2	35	49	28	0.624697111546993
19	12	obj05.jpg	12	168	face14.jpg	2	38	50	139	2.20955038815737
19	10	obj01.jpg	10	120	face10.jpg	2	40	51	28	3.50626683048904
19	3	obj09.jpg	4	336	face17.jpg	2	42	52	229	6.44891781918705
19	4	obj11.jpg	3	312	face20.jpg	2	45	53	317	2.59066309221089
19	2	obj10.jpg	2	288	face02.jpg	2	50	54	203	8.81877650134265
19	14	obj14.jpg	13	192	face19.jpg	2	52	55	243	3.00703675299883
19	13	obj13.jpg	13	192	face12.jpg	2	56	56	248	2.42827771417797
