SubjID	OriobjNo	PicName	PairNo	RotateAng	FaceNo	LureFace	RunNo	genRanNo	AllTrialNo	Foil1	Foil2	key	RT	facechoice
18	13	obj10.jpg	14	336	face25.jpg	face23.jpg	1	20	1	face14.jpg	face18.jpg	4	3329.82504600659	1
18	9	obj04.jpg	10	240	face10.jpg	face27.jpg	1	22	2	face20.jpg	face22.jpg	3	3018.98784301011	1
18	7	obj09.jpg	7	168	face02.jpg	face15.jpg	1	24	3	face06.jpg	face14.jpg	4	4634.51260898728	2
18	13	obj10.jpg	13	312	face23.jpg	face25.jpg	1	38	4	face16.jpg	face10.jpg	3	4076.30820097984	1
18	11	obj14.jpg	11	264	face12.jpg	face17.jpg	1	51	5	face25.jpg	face08.jpg	2	2922.64836299	4
18	12	obj01.jpg	12	288	face06.jpg	face05.jpg	1	52	6	face07.jpg	face24.jpg	4	5184.21565700555	2
18	4	obj06.jpg	4	96	face08.jpg	face09.jpg	1	93	7	face01.jpg	face25.jpg	4	2449.2093300214	1
18	8	obj02.jpg	7	168	face28.jpg	face16.jpg	1	96	8	face10.jpg	face15.jpg	4	1979.49632501695	1
18	7	obj09.jpg	8	192	face15.jpg	face02.jpg	1	98	9	face26.jpg	face23.jpg	4	4459.29228301975	1
18	12	obj01.jpg	11	264	face05.jpg	face06.jpg	1	113	10	face19.jpg	face09.jpg	4	1463.2088310027	1
18	2	obj08.jpg	2	48	face22.jpg	face04.jpg	1	117	11	face27.jpg	face11.jpg	4	4096.27464000368	1
18	3	obj11.jpg	4	96	face11.jpg	face26.jpg	1	128	12	face21.jpg	face06.jpg	4	2664.46440800792	1
18	2	obj08.jpg	1	24	face04.jpg	face22.jpg	1	130	13	face24.jpg	face01.jpg	4	2760.70446099038	2
18	11	obj14.jpg	12	288	face17.jpg	face12.jpg	1	145	14	face04.jpg	face13.jpg	1	2788.16542599816	1
18	1	obj12.jpg	2	48	face18.jpg	face01.jpg	1	150	15	face23.jpg	face03.jpg	4	1718.08800500003	2
18	5	obj05.jpg	6	144	face03.jpg	face24.jpg	1	153	16	face22.jpg	face26.jpg	1	3797.24263399839	2
18	14	obj03.jpg	14	336	face21.jpg	face14.jpg	1	159	17	face17.jpg	face16.jpg	2	2709.06836498762	1
18	9	obj04.jpg	9	216	face27.jpg	face10.jpg	1	161	18	face12.jpg	face28.jpg	2	3330.09894701536	2
18	6	obj07.jpg	5	120	face20.jpg	face19.jpg	1	213	19	face05.jpg	face12.jpg	1	4780.90096000233	2
18	8	obj02.jpg	8	192	face16.jpg	face28.jpg	1	287	20	face03.jpg	face04.jpg	2	6088.84717998444	4
18	10	obj13.jpg	9	216	face13.jpg	face07.jpg	1	312	21	face15.jpg	face17.jpg	4	2376.54035299784	1
18	6	obj07.jpg	6	144	face19.jpg	face20.jpg	1	326	22	face09.jpg	face02.jpg	2	6654.6803599922	1
18	4	obj06.jpg	3	72	face09.jpg	face08.jpg	1	330	23	face02.jpg	face07.jpg	1	2820.39113598876	4
18	14	obj03.jpg	13	312	face14.jpg	face21.jpg	1	333	24	face13.jpg	face05.jpg	4	4380.8210399875	1
18	1	obj12.jpg	1	24	face01.jpg	face18.jpg	1	356	25	face28.jpg	face27.jpg	2	4098.03701899364	2
18	10	obj13.jpg	10	240	face07.jpg	face13.jpg	1	357	26	face11.jpg	face20.jpg	4	4815.32944299397	2
18	5	obj05.jpg	5	120	face24.jpg	face03.jpg	1	368	27	face18.jpg	face21.jpg	1	2053.670719004	1
18	3	obj11.jpg	3	72	face26.jpg	face11.jpg	1	382	28	face08.jpg	face19.jpg	2	3316.04926	2
18	13	obj10.jpg	14	336	face25.jpg	face23.jpg	2	7	29	face08.jpg	face11.jpg	2	6169.18995301239	1
18	7	obj09.jpg	7	168	face02.jpg	face15.jpg	2	30	30	face20.jpg	face17.jpg	3	4780.65192399663	1
18	1	obj12.jpg	2	48	face18.jpg	face01.jpg	2	39	31	face26.jpg	face22.jpg	3	2017.21238001483	2
18	6	obj07.jpg	5	120	face20.jpg	face19.jpg	2	44	32	face16.jpg	face04.jpg	1	4650.68420898751	1
18	14	obj03.jpg	14	336	face21.jpg	face14.jpg	2	45	33	face12.jpg	face09.jpg	1	5572.80095401802	1
18	10	obj13.jpg	9	216	face13.jpg	face07.jpg	2	48	34	face02.jpg	face23.jpg	2	4790.29424898908	1
18	12	obj01.jpg	11	264	face05.jpg	face06.jpg	2	97	35	face27.jpg	face13.jpg	1	5396.78825100418	1
18	4	obj06.jpg	3	72	face09.jpg	face08.jpg	2	108	36	face21.jpg	face19.jpg	1	3236.72819801141	2
18	5	obj05.jpg	5	120	face24.jpg	face03.jpg	2	126	37	face15.jpg	face06.jpg	1	1538.34957198706	1
18	3	obj11.jpg	3	72	face26.jpg	face11.jpg	2	136	38	face07.jpg	face21.jpg	4	5405.78955202363	2
18	3	obj11.jpg	4	96	face11.jpg	face26.jpg	2	146	39	face22.jpg	face27.jpg	4	6710.04225700744	3
18	8	obj02.jpg	7	168	face28.jpg	face16.jpg	2	185	40	face03.jpg	face05.jpg	4	3715.32248600852	1
18	11	obj14.jpg	12	288	face17.jpg	face12.jpg	2	187	41	face10.jpg	face18.jpg	4	2119.34543098323	1
18	11	obj14.jpg	11	264	face12.jpg	face17.jpg	2	188	42	face23.jpg	face02.jpg	1	4708.53354601422	1
18	13	obj10.jpg	13	312	face23.jpg	face25.jpg	2	200	43	face24.jpg	face14.jpg	4	2393.34402000532	1
18	9	obj04.jpg	10	240	face10.jpg	face27.jpg	2	223	44	face04.jpg	face26.jpg	2	1636.418220005	1
18	6	obj07.jpg	6	144	face19.jpg	face20.jpg	2	225	45	face11.jpg	face08.jpg	2	5232.86997000105	2
18	7	obj09.jpg	8	192	face15.jpg	face02.jpg	2	243	46	face13.jpg	face16.jpg	4	4356.62998701446	1
18	10	obj13.jpg	10	240	face07.jpg	face13.jpg	2	245	47	face05.jpg	face20.jpg	3	2929.54962799558	2
18	12	obj01.jpg	12	288	face06.jpg	face05.jpg	2	260	48	face01.jpg	face12.jpg	1	4785.93320801156	1
18	2	obj08.jpg	2	48	face22.jpg	face04.jpg	2	297	49	face28.jpg	face03.jpg	1	2123.65520498133	1
18	5	obj05.jpg	6	144	face03.jpg	face24.jpg	2	305	50	face06.jpg	face28.jpg	NaN	NaN	NaN
18	4	obj06.jpg	4	96	face08.jpg	face09.jpg	2	318	51	face14.jpg	face01.jpg	3	4041.82875101105	1
18	9	obj04.jpg	9	216	face27.jpg	face10.jpg	2	320	52	face18.jpg	face25.jpg	3	1712.43688699906	2
18	1	obj12.jpg	1	24	face01.jpg	face18.jpg	2	329	53	face19.jpg	face24.jpg	1	4593.30185697763	2
18	14	obj03.jpg	13	312	face14.jpg	face21.jpg	2	332	54	face25.jpg	face10.jpg	4	5023.3277209918	1
18	2	obj08.jpg	1	24	face04.jpg	face22.jpg	2	358	55	face09.jpg	face07.jpg	2	4726.06090200134	4
18	8	obj02.jpg	8	192	face16.jpg	face28.jpg	2	376	56	face17.jpg	face15.jpg	3	5434.87491799169	2
18	2	obj08.jpg	1	24	face04.jpg	face22.jpg	3	35	57	face14.jpg	face12.jpg	1	3627.09340799483	2
18	1	obj12.jpg	1	24	face01.jpg	face18.jpg	3	46	58	face09.jpg	face03.jpg	1	2127.92833501589	1
18	11	obj14.jpg	12	288	face17.jpg	face12.jpg	3	47	59	face07.jpg	face05.jpg	4	2127.20637500752	1
18	7	obj09.jpg	8	192	face15.jpg	face02.jpg	3	59	60	face04.jpg	face20.jpg	1	2697.11252400884	1
18	6	obj07.jpg	6	144	face19.jpg	face20.jpg	3	60	61	face16.jpg	face24.jpg	2	1430.69196099532	2
18	12	obj01.jpg	11	264	face05.jpg	face06.jpg	3	73	62	face19.jpg	face14.jpg	1	3155.64177199849	1
18	12	obj01.jpg	12	288	face06.jpg	face05.jpg	3	81	63	face26.jpg	face17.jpg	4	5679.98553300276	3
18	5	obj05.jpg	5	120	face24.jpg	face03.jpg	3	83	64	face08.jpg	face18.jpg	2	3779.39642500132	1
18	9	obj04.jpg	10	240	face10.jpg	face27.jpg	3	88	65	face17.jpg	face07.jpg	4	2353.11390899005	1
18	11	obj14.jpg	11	264	face12.jpg	face17.jpg	3	115	66	face22.jpg	face10.jpg	3	5335.67400299944	1
18	14	obj03.jpg	13	312	face14.jpg	face21.jpg	3	122	67	face10.jpg	face09.jpg	3	4138.45014901017	2
18	3	obj11.jpg	3	72	face26.jpg	face11.jpg	3	138	68	face12.jpg	face08.jpg	1	6142.42037801887	4
18	2	obj08.jpg	2	48	face22.jpg	face04.jpg	3	141	69	face27.jpg	face01.jpg	4	1950.23672201205	1
18	4	obj06.jpg	3	72	face09.jpg	face08.jpg	3	168	70	face20.jpg	face16.jpg	2	4886.07761100866	1
18	1	obj12.jpg	2	48	face18.jpg	face01.jpg	3	175	71	face05.jpg	face21.jpg	2	2027.21169800498	2
18	9	obj04.jpg	9	216	face27.jpg	face10.jpg	3	176	72	face15.jpg	face28.jpg	2	3044.43377198186	1
18	10	obj13.jpg	10	240	face07.jpg	face13.jpg	3	194	73	face28.jpg	face27.jpg	2	6280.34793099505	1
18	3	obj11.jpg	4	96	face11.jpg	face26.jpg	3	196	74	face23.jpg	face19.jpg	2	4104.98467599973	1
18	8	obj02.jpg	7	168	face28.jpg	face16.jpg	3	220	75	face18.jpg	face25.jpg	1	4408.28773399699	1
18	7	obj09.jpg	7	168	face02.jpg	face15.jpg	3	226	76	face11.jpg	face13.jpg	2	4333.28808000078	1
18	8	obj02.jpg	8	192	face16.jpg	face28.jpg	3	230	77	face21.jpg	face15.jpg	4	3986.35159799596	1
18	10	obj13.jpg	9	216	face13.jpg	face07.jpg	3	237	78	face03.jpg	face22.jpg	2	3667.82673500711	1
18	13	obj10.jpg	13	312	face23.jpg	face25.jpg	3	264	79	face24.jpg	face06.jpg	1	6470.28824998415	1
18	13	obj10.jpg	14	336	face25.jpg	face23.jpg	3	269	80	face13.jpg	face02.jpg	2	2554.35137698078	1
18	4	obj06.jpg	4	96	face08.jpg	face09.jpg	3	286	81	face25.jpg	face11.jpg	1	4692.58565397467	1
18	6	obj07.jpg	5	120	face20.jpg	face19.jpg	3	294	82	face02.jpg	face26.jpg	3	3565.3674879868	1
18	5	obj05.jpg	6	144	face03.jpg	face24.jpg	3	352	83	face06.jpg	face23.jpg	3	2498.82401002105	2
18	14	obj03.jpg	14	336	face21.jpg	face14.jpg	3	383	84	face01.jpg	face04.jpg	3	3411.57667900552	2
18	7	obj09.jpg	7	168	face02.jpg	face15.jpg	4	11	85	face16.jpg	face06.jpg	3	4360.98710101214	2
18	2	obj08.jpg	1	24	face04.jpg	face22.jpg	4	26	86	face15.jpg	face10.jpg	2	3705.56840201607	2
18	10	obj13.jpg	9	216	face13.jpg	face07.jpg	4	56	87	face06.jpg	face23.jpg	2	2886.47631701315	1
18	12	obj01.jpg	12	288	face06.jpg	face05.jpg	4	64	88	face02.jpg	face11.jpg	3	6377.06266299938	1
18	9	obj04.jpg	10	240	face10.jpg	face27.jpg	4	103	89	face13.jpg	face01.jpg	1	1998.61548299668	2
18	4	obj06.jpg	3	72	face09.jpg	face08.jpg	4	127	90	face04.jpg	face12.jpg	2	5382.8316469735	1
18	1	obj12.jpg	2	48	face18.jpg	face01.jpg	4	132	91	face09.jpg	face21.jpg	2	3451.86682598433	2
18	13	obj10.jpg	13	312	face23.jpg	face25.jpg	4	135	92	face20.jpg	face04.jpg	2	2007.9649950203	1
18	11	obj14.jpg	12	288	face17.jpg	face12.jpg	4	149	93	face25.jpg	face27.jpg	4	4274.41462501884	1
18	9	obj04.jpg	9	216	face27.jpg	face10.jpg	4	157	94	face03.jpg	face19.jpg	4	2584.42902402021	1
18	2	obj08.jpg	2	48	face22.jpg	face04.jpg	4	178	95	face10.jpg	face03.jpg	3	1327.79955599108	1
18	7	obj09.jpg	8	192	face15.jpg	face02.jpg	4	179	96	face23.jpg	face13.jpg	3	3298.28471201472	2
18	8	obj02.jpg	8	192	face16.jpg	face28.jpg	4	186	97	face18.jpg	face05.jpg	1	7308.45757600036	1
18	11	obj14.jpg	11	264	face12.jpg	face17.jpg	4	198	98	face08.jpg	face14.jpg	3	5817.08357500611	1
18	3	obj11.jpg	3	72	face26.jpg	face11.jpg	4	212	99	face19.jpg	face22.jpg	1	4527.94477800489	2
18	12	obj01.jpg	11	264	face05.jpg	face06.jpg	4	228	100	face26.jpg	face24.jpg	4	1591.90776501782	1
18	6	obj07.jpg	6	144	face19.jpg	face20.jpg	4	238	101	face07.jpg	face08.jpg	NaN	NaN	NaN
18	6	obj07.jpg	5	120	face20.jpg	face19.jpg	4	263	102	face22.jpg	face25.jpg	1	2227.07523801364	1
18	3	obj11.jpg	4	96	face11.jpg	face26.jpg	4	268	103	face17.jpg	face09.jpg	2	2947.66472099582	1
18	8	obj02.jpg	7	168	face28.jpg	face16.jpg	4	271	104	face05.jpg	face18.jpg	2	5833.62933699391	1
18	13	obj10.jpg	14	336	face25.jpg	face23.jpg	4	272	105	face21.jpg	face15.jpg	2	5659.93295499356	1
18	4	obj06.jpg	4	96	face08.jpg	face09.jpg	4	278	106	face24.jpg	face16.jpg	2	2411.42787900753	1
18	14	obj03.jpg	14	336	face21.jpg	face14.jpg	4	288	107	face11.jpg	face20.jpg	1	2145.9776800184	1
18	1	obj12.jpg	1	24	face01.jpg	face18.jpg	4	315	108	face12.jpg	face07.jpg	3	1455.50149999326	1
18	5	obj05.jpg	6	144	face03.jpg	face24.jpg	4	317	109	face27.jpg	face02.jpg	4	1860.84054500679	2
18	5	obj05.jpg	5	120	face24.jpg	face03.jpg	4	322	110	face01.jpg	face28.jpg	2	1741.69944398454	1
18	10	obj13.jpg	10	240	face07.jpg	face13.jpg	4	341	111	face14.jpg	face26.jpg	4	2600.42264699587	2
18	14	obj03.jpg	13	312	face14.jpg	face21.jpg	4	374	112	face28.jpg	face17.jpg	2	3065.96790000913	1
18	10	obj13.jpg	10	240	face07.jpg	face13.jpg	5	2	113	face09.jpg	face10.jpg	4	2637.74959498551	2
18	1	obj12.jpg	1	24	face01.jpg	face18.jpg	5	10	114	face12.jpg	face26.jpg	1	2843.74243699131	2
18	7	obj09.jpg	7	168	face02.jpg	face15.jpg	5	15	115	face24.jpg	face08.jpg	1	3880.94896599068	1
18	7	obj09.jpg	8	192	face15.jpg	face02.jpg	5	23	116	face17.jpg	face25.jpg	3	1955.25661899592	1
18	13	obj10.jpg	14	336	face25.jpg	face23.jpg	5	27	117	face20.jpg	face06.jpg	4	3574.43452998996	1
18	6	obj07.jpg	6	144	face19.jpg	face20.jpg	5	72	118	face28.jpg	face17.jpg	4	3106.84522800148	2
18	9	obj04.jpg	9	216	face27.jpg	face10.jpg	5	75	119	face01.jpg	face12.jpg	4	3201.47893199464	2
18	8	obj02.jpg	8	192	face16.jpg	face28.jpg	5	77	120	face27.jpg	face13.jpg	3	1682.44288399001	1
18	9	obj04.jpg	10	240	face10.jpg	face27.jpg	5	85	121	face11.jpg	face24.jpg	2	2486.62470598356	1
18	11	obj14.jpg	12	288	face17.jpg	face12.jpg	5	95	122	face25.jpg	face27.jpg	2	4418.18152900669	1
18	4	obj06.jpg	4	96	face08.jpg	face09.jpg	5	101	123	face04.jpg	face18.jpg	1	3094.36958399601	1
18	11	obj14.jpg	11	264	face12.jpg	face17.jpg	5	102	124	face03.jpg	face19.jpg	2	2996.98692900711	1
18	13	obj10.jpg	13	312	face23.jpg	face25.jpg	5	105	125	face16.jpg	face11.jpg	2	1774.20581300976	1
18	3	obj11.jpg	3	72	face26.jpg	face11.jpg	5	106	126	face21.jpg	face09.jpg	3	4766.02783898124	1
18	4	obj06.jpg	3	72	face09.jpg	face08.jpg	5	137	127	face26.jpg	face03.jpg	3	5453.07437801966	1
18	14	obj03.jpg	13	312	face14.jpg	face21.jpg	5	139	128	face07.jpg	face02.jpg	4	3104.71872999915	2
18	1	obj12.jpg	2	48	face18.jpg	face01.jpg	5	143	129	face19.jpg	face04.jpg	3	2813.69576900033	1
18	6	obj07.jpg	5	120	face20.jpg	face19.jpg	5	182	130	face06.jpg	face16.jpg	2	3026.32355800597	1
18	12	obj01.jpg	11	264	face05.jpg	face06.jpg	5	184	131	face18.jpg	face22.jpg	1	7476.27849099808	1
18	5	obj05.jpg	5	120	face24.jpg	face03.jpg	5	199	132	face22.jpg	face15.jpg	2	3669.31519701029	1
18	5	obj05.jpg	6	144	face03.jpg	face24.jpg	5	208	133	face23.jpg	face07.jpg	1	2656.62409699871	1
18	2	obj08.jpg	1	24	face04.jpg	face22.jpg	5	210	134	face13.jpg	face14.jpg	3	2287.28016497917	2
18	2	obj08.jpg	2	48	face22.jpg	face04.jpg	5	218	135	face14.jpg	face23.jpg	1	5509.06711799325	1
18	14	obj03.jpg	14	336	face21.jpg	face14.jpg	5	241	136	face10.jpg	face05.jpg	1	3148.58925199951	2
18	8	obj02.jpg	7	168	face28.jpg	face16.jpg	5	277	137	face15.jpg	face01.jpg	1	2008.70427498012	1
18	10	obj13.jpg	9	216	face13.jpg	face07.jpg	5	283	138	face05.jpg	face28.jpg	1	1827.80937899952	1
18	3	obj11.jpg	4	96	face11.jpg	face26.jpg	5	363	139	face02.jpg	face20.jpg	1	5585.41336000781	1
18	12	obj01.jpg	12	288	face06.jpg	face05.jpg	5	370	140	face08.jpg	face21.jpg	1	4033.65699699498	1
18	12	obj01.jpg	11	264	face05.jpg	face06.jpg	6	31	141	face18.jpg	face11.jpg	3	1843.46768600517	1
18	10	obj13.jpg	10	240	face07.jpg	face13.jpg	6	34	142	face22.jpg	face28.jpg	2	2286.01834698929	1
18	3	obj11.jpg	3	72	face26.jpg	face11.jpg	6	82	143	face19.jpg	face16.jpg	NaN	NaN	NaN
18	12	obj01.jpg	12	288	face06.jpg	face05.jpg	6	91	144	face10.jpg	face26.jpg	2	6297.59255400859	1
18	4	obj06.jpg	4	96	face08.jpg	face09.jpg	6	99	145	face21.jpg	face17.jpg	1	1693.39868699899	1
18	7	obj09.jpg	7	168	face02.jpg	face15.jpg	6	110	146	face04.jpg	face06.jpg	4	3168.70259400457	2
18	2	obj08.jpg	2	48	face22.jpg	face04.jpg	6	116	147	face13.jpg	face24.jpg	1	2265.95580900903	2
18	7	obj09.jpg	8	192	face15.jpg	face02.jpg	6	156	148	face07.jpg	face21.jpg	3	2633.07960701059	1
18	6	obj07.jpg	5	120	face20.jpg	face19.jpg	6	162	149	face02.jpg	face12.jpg	3	5301.65148898959	2
18	2	obj08.jpg	1	24	face04.jpg	face22.jpg	6	169	150	face25.jpg	face03.jpg	2	3349.46615400258	1
18	9	obj04.jpg	9	216	face27.jpg	face10.jpg	6	172	151	face01.jpg	face23.jpg	3	3899.73090100102	1
18	3	obj11.jpg	4	96	face11.jpg	face26.jpg	6	173	152	face03.jpg	face09.jpg	4	7060.16718500177	1
18	8	obj02.jpg	8	192	face16.jpg	face28.jpg	6	190	153	face11.jpg	face20.jpg	4	5208.31544999965	2
18	6	obj07.jpg	6	144	face19.jpg	face20.jpg	6	195	154	face26.jpg	face02.jpg	1	3943.93714799662	2
